Idusuarios,Desloguin,Dessenha,Dtcadastro
9,aluno,@lun0,2020-07-10 20:37:39
10,aluno,@lun0,2020-07-10 20:37:40
11,aluno,@lun0,2020-07-10 20:42:13
12,aluno,@lun0,2020-07-10 20:42:13
13,aluno,@lun0,2020-07-10 20:42:13
14,aluno,@lun0,2020-07-10 20:42:31
15,aluno,@lun0,2020-07-10 20:42:31
16,aluno,@lun0,2020-07-10 20:42:31
17,aluno,@lun0,2020-07-10 20:45:13
18,aluno,@lun0,2020-07-10 20:45:13
19,aluno,@lun0,2020-07-10 20:47:50
20,aluno,@lun0,2020-07-10 20:47:50
21,aluno,@lun0,2020-07-10 20:47:51
22,aluno,@lun0,2020-07-10 20:47:51
23,aluno,@lun0,2020-07-10 20:47:51
24,aluno,@lun0,2020-07-10 20:56:01
25,aluno,@lun0,2020-07-10 20:57:45
26,aluno,@lun0,2020-07-10 20:57:45
27,aluno,@lun0,2020-07-10 21:00:06
28,aluno,@lun0,2020-07-10 21:00:06
29,aluno,@lun0,2020-07-10 21:00:06
30,aluno,@lun0,2020-07-10 21:00:07
31,aluno,@lun0,2020-07-10 21:00:07
32,aluno,@lun0,2020-07-10 21:00:07
33,aluno,@lun0,2020-07-10 21:02:27
34,aluno,@lun0,2020-07-10 21:02:28
35,aluno,@lun0,2020-07-10 21:02:28
36,aluno,@lun0,2020-07-10 21:02:28
37,aluno,@lun0,2020-07-10 21:02:29
38,aluno,@lun0,2020-07-10 21:02:29
39,aluno,@lun0,2020-07-10 21:02:29
40,aluno,@lun0,2020-07-10 21:02:30
41,aluno,@lun0,2020-07-10 21:02:30
42,aluno,@lun0,2020-07-10 21:02:30
43,aluno,@lun0,2020-07-10 21:02:30
44,aluno,@lun0,2020-07-10 21:02:30
45,aluno,@lun0,2020-07-10 21:09:26
46,aluno,@lun0,2020-07-10 21:09:27
47,aluno,@lun0,2020-07-10 21:09:27
48,aluno,@lun0,2020-07-10 21:09:27
49,aluno,@lun0,2020-07-10 21:09:27
50,aluno,@lun0,2020-07-10 21:09:28
51,aluno,@lun0,2020-07-10 21:09:28
52,aluno,@lun0,2020-07-10 21:09:29
53,aluno,@lun0,2020-07-10 21:09:29
54,aluno,@lun0,2020-07-10 21:11:32
55,aluno,@lun0,2020-07-10 21:11:32
56,aluno,@lun0,2020-07-10 21:13:39
57,aluno,@lun0,2020-07-10 21:13:39
58,aluno,@lun0,2020-07-10 21:13:40
59,aluno,@lun0,2020-07-10 21:13:40
60,aluno,@lun0,2020-07-10 21:13:40
61,aluno,@lun0,2020-07-10 21:13:40
62,aluno,@lun0,2020-07-10 21:13:40
63,aluno,@lun0,2020-07-10 21:15:47
64,aluno,@lun0,2020-07-10 21:15:47
65,aluno,@lun0,2020-07-10 21:16:21
66,aluno,@lun0,2020-07-10 21:16:22
67,aluno,@lun0,2020-07-10 21:16:22
68,aluno,@lun0,2020-07-10 21:16:22
69,aluno,@lun0,2020-07-10 21:32:56
70,aluno,@lun0,2020-07-10 21:32:56
71,aluno,@lun0,2020-07-10 21:33:08
72,aluno,@lun0,2020-07-10 21:33:09
73,aluno,@lun0,2020-07-10 21:34:50
74,aluno,@lun0,2020-07-10 21:34:50
75,aluno,@lun0,2020-07-10 21:37:25
76,aluno,@lun0,2020-07-10 21:37:25
77,aluno,@lun0,2020-07-10 21:37:25
78,aluno,@lun0,2020-07-10 21:37:25
79,aluno,@lun0,2020-07-10 21:37:26
80,aluno,@lun0,2020-07-10 21:37:26
81,aluno,@lun0,2020-07-10 21:43:27
82,aluno,@alun0,2020-07-10 21:47:15
83,aluno,@alun0,2020-07-10 21:47:45
84,aluno,@alun0,2020-07-10 21:48:49
8,professor,!@#$%¨&,2020-07-08 19:24:22
5,root,!@#$,2020-07-02 20:21:45
3,user,12345,2020-07-02 20:20:00
4,user,12345,2020-07-02 20:21:45
